dataset,condition,chamber,Individual,genotype,location,num_leaves,plant_width,longest_leaf_length,plant_height,planting_date,rosette_id,status,rep,round,date,DAP,relative_dap
temp,16,15,13184E_15_16_7,NY_06,NYC,6,5,2.5,0,2/1/23,ik,G,7,2,2/17/23,16,0.2909090909090909
temp,16,15,13184E_15_16_7,NY_06,NYC,7,8,5.3,0,2/1/23,ik,G,7,2,2/20/23,19,0.34545454545454546
temp,16,15,13184E_15_16_7,NY_06,NYC,9,16,8,0,2/1/23,ik,G,7,2,2/27/23,26,0.4727272727272727
temp,16,15,13184E_15_16_7,NY_06,NYC,9,18.5,9.3,0,2/1/23,ik,G,7,2,3/1/23,28,0.509090909090909
temp,16,15,13184E_15_16_7,NY_06,NYC,13,22,10,0,2/1/23,ik,G,7,2,3/1/23,28,0.509090909090909
temp,16,15,13184E_15_16_7,NY_06,NYC,14,28,13.5,0,2/1/23,ik,G,7,2,3/7/23,34,0.6181818181818182
temp,16,15,13184E_15_16_7,NY_06,NYC,22,31.5,15,0,2/1/23,ik,H,7,2,3/10/23,37,0.6727272727272727
temp,16,15,17294E_15_16_1,NY_18,NYC,4,0.5,0.25,0,2/1/23,il,GD,1,2,2/17/23,16,0.2191780821917808
temp,16,15,17294E_15_16_1,NY_18,NYC,4,0.5,0.25,0,2/1/23,il,GD,1,2,2/20/23,19,0.2602739726027397
temp,16,15,17294E_15_16_1,NY_18,NYC,6,2.2,1.5,0,2/1/23,il,GD,1,2,2/27/23,26,0.3561643835616438
temp,16,15,17294E_15_16_1,NY_18,NYC,6,3,1.5,0,2/1/23,il,GD,1,2,3/1/23,28,0.3835616438356164
temp,16,15,17294E_15_16_1,NY_18,NYC,6,6,5.8,0,2/1/23,il,GD,1,2,3/7/23,34,0.4657534246575342
temp,16,15,17294E_15_16_1,NY_18,NYC,8,7,6,0,2/1/23,il,GD,1,2,3/10/23,37,0.5068493150684932
temp,16,15,17294E_15_16_3,NY_18,NYC,5,3.5,1.25,0,2/1/23,im,G,3,2,2/17/23,16,0.2191780821917808
temp,16,15,17294E_15_16_3,NY_18,NYC,9,6.3,5,0,2/1/23,im,G,3,2,2/20/23,19,0.2602739726027397
temp,16,15,17294E_15_16_3,NY_18,NYC,12,10,5.5,0,2/1/23,im,G,3,2,2/27/23,26,0.3561643835616438
temp,16,15,17294E_15_16_3,NY_18,NYC,15,13.5,7,0,2/1/23,im,G,3,2,3/1/23,28,0.3835616438356164
temp,16,15,17294E_15_16_3,NY_18,NYC,19,25,12.5,0,2/1/23,im,H,3,2,3/10/23,37,0.5068493150684932
temp,16,15,17294E_15_16_4,NY_18,NYC,7,5,2,0,2/1/23,in,G,4,2,2/17/23,16,0.2191780821917808
temp,16,15,17294E_15_16_4,NY_18,NYC,10,6.5,3.6,0,2/1/23,in,G,4,2,2/20/23,19,0.2602739726027397
temp,16,15,17294E_15_16_4,NY_18,NYC,12,15,7.5,0,2/1/23,in,G,4,2,2/27/23,26,0.3561643835616438
temp,16,15,17294E_15_16_4,NY_18,NYC,12,16.5,8,0,2/1/23,in,G,4,2,3/1/23,28,0.3835616438356164
temp,16,15,17294E_15_16_4,NY_18,NYC,13,20,12.5,0,2/1/23,in,G,4,2,3/7/23,34,0.4657534246575342
temp,16,15,17294E_15_16_4,NY_18,NYC,20,30,15.5,0,2/1/23,in,H,4,2,3/10/23,37,0.5068493150684932
temp,16,15,17294E_15_16_5,NY_18,NYC,4,0.5,0.25,0,2/1/23,io,G,5,2,2/17/23,16,0.2191780821917808
temp,16,15,17294E_15_16_5,NY_18,NYC,5,1,0.5,0,2/1/23,io,G,5,2,2/20/23,19,0.2602739726027397
temp,16,15,17294E_15_16_5,NY_18,NYC,6,4,2,0,2/1/23,io,G,5,2,2/27/23,26,0.3561643835616438
temp,16,15,17294E_15_16_5,NY_18,NYC,6,4,3,0,2/1/23,io,G,5,2,3/1/23,28,0.3835616438356164
temp,16,15,17294E_15_16_5,NY_18,NYC,12,13,4,0,2/1/23,io,G,5,2,3/7/23,34,0.4657534246575342
temp,16,15,17294E_15_16_5,NY_18,NYC,14,11,6,0,2/1/23,io,H,5,2,3/10/23,37,0.5068493150684932
temp,16,15,216L_15_16_4 - P1,NY_63,NYC,7,1,0.5,0,2/1/23,ip,G,4.1,2,2/17/23,16,0.2191780821917808
temp,16,15,216L_15_16_4 - P1,NY_63,NYC,7,5.5,2.5,0,2/1/23,ip,G,4.1,2,2/20/23,19,0.2602739726027397
temp,16,15,216L_15_16_4 - P1,NY_63,NYC,6,8,5,0,2/1/23,ip,G,4.1,2,2/27/23,26,0.3561643835616438
temp,16,15,216L_15_16_4 - P1,NY_63,NYC,12,8.5,5.5,0,2/1/23,ip,G,4.1,2,3/1/23,28,0.3835616438356164
temp,16,15,216L_15_16_4 - P1,NY_63,NYC,14,17,8.5,0,2/1/23,ip,G,4.1,2,3/7/23,34,0.4657534246575342
temp,16,15,216L_15_16_4 - P1,NY_63,NYC,17,23,11.5,0,2/1/23,ip,H,4.1,2,3/10/23,37,0.5068493150684932
temp,16,15,216L_15_16_4 - P2,NY_63,NYC,6,1,0.5,0,2/1/23,iw,GD,4.2,2,2/17/23,16,0.2191780821917808
temp,16,15,216L_15_16_4 - P2,NY_63,NYC,6,3.5,1,0,2/1/23,iw,GD,4.2,2,2/20/23,19,0.2602739726027397
temp,16,15,216L_15_16_4 - P2,NY_63,NYC,8,8.5,5,0,2/1/23,iw,GD,4.2,2,3/1/23,28,0.3835616438356164
temp,16,15,216L_15_16_5,NY_63,NYC,4,0.5,0.5,0,2/1/23,iq,GD,5,2,2/20/23,19,0.2602739726027397
temp,16,15,216L_15_16_5,NY_63,NYC,4,0.5,0.7,0,2/1/23,iq,GD,5,2,2/27/23,26,0.3561643835616438
temp,16,15,216L_15_16_5,NY_63,NYC,4,0.5,0.25,0,2/1/23,iq,GD,5,2,3/1/23,28,0.3835616438356164
temp,16,15,216L_15_16_5,NY_63,NYC,4,0.5,0.25,0,2/1/23,iq,GD,5,2,3/7/23,34,0.4657534246575342
temp,16,15,216L_15_16_5,NY_63,NYC,4,1,0.25,0,2/1/23,iq,GD,5,2,3/10/23,37,0.5068493150684932
temp,16,15,216L_15_16_8 _P1,NY_63,NYC,4,1,0.5,0,2/1/23,ir,G,8.1,2,2/17/23,16,0.2191780821917808
temp,16,15,216L_15_16_8 _P1,NY_63,NYC,4,3,1.5,0,2/1/23,ir,G,8.1,2,2/20/23,19,0.2602739726027397
temp,16,15,216L_15_16_8 _P1,NY_63,NYC,6,4,2.5,0,2/1/23,ir,G,8.1,2,2/27/23,26,0.3561643835616438
temp,16,15,216L_15_16_8 _P1,NY_63,NYC,8,6,7.5,0,2/1/23,ir,G,8.1,2,3/1/23,28,0.3835616438356164
temp,16,15,216L_15_16_8 _P1,NY_63,NYC,9,11,5.5,0,2/1/23,ir,G,8.1,2,3/7/23,34,0.4657534246575342
temp,16,15,216L_15_16_8 _P1,NY_63,NYC,11,15,6.5,0,2/1/23,ir,H,8.1,2,3/10/23,37,0.5068493150684932
temp,16,15,216L_15_16_8 _P2,NY_63,NYC,2,0.5,0.15,0,2/1/23,is,GD,8.2,2,2/17/23,16,0.2191780821917808
temp,16,15,216L_15_16_8 _P2,NY_63,NYC,4,0.75,0.25,0,2/1/23,is,GD,8.2,2,2/20/23,19,0.2602739726027397
temp,16,15,216L_15_16_8 _P2,NY_63,NYC,4,1,0.5,0,2/1/23,is,GD,8.2,2,2/27/23,26,0.3561643835616438
temp,16,15,216L_15_16_8 _P2,NY_63,NYC,4,1,0.5,0,2/1/23,is,GD,8.2,2,3/1/23,28,0.3835616438356164
temp,16,15,216L_15_16_8 _P2,NY_63,NYC,4,1,1,0,2/1/23,is,GD,8.2,2,3/7/23,34,0.4657534246575342
temp,16,15,216L_15_16_8 _P2,NY_63,NYC,4,1.3,1.5,0,2/1/23,is,GD,8.2,2,3/10/23,37,0.5068493150684932
temp,20,8,11161_8_20_3,NY_65,NYC,18,22,11.5,0,2/1/23,iu,NG,3,2,2/20/23,19,0.2835820895522388
temp,20,8,11616L_8_20_3 - P1,NY_65,NYC,12,15,7,0,2/1/23,iv,NG,3.1,2,2/17/23,16,0.23880597014925373
temp,20,8,11616L_8_20_3 - P2,NY_65,NYC,4,6,2.5,0,2/1/23,ix,NG,3.2,2,2/17/23,16,0.23880597014925373
temp,20,8,13184E_8_20_3,NY_06,NYC,13,18,12,0,2/1/23,ja,G,3,2,2/17/23,16,0.2909090909090909
temp,20,8,13184E_8_20_3,NY_06,NYC,19,28.5,15.5,0,2/1/23,ja,G,3,2,2/20/23,19,0.34545454545454546
temp,20,8,13184E_8_20_3,NY_06,NYC,30,33,17,0,2/1/23,ja,H,3,2,2/27/23,26,0.4727272727272727
temp,20,8,13184E_8_20_4,NY_06,NYC,10,15.5,9.2,0,2/1/23,jb,G,4,2,2/17/23,16,0.2909090909090909
temp,20,8,13184E_8_20_4,NY_06,NYC,14,21,13,0,2/1/23,jb,G,4,2,2/20/23,19,0.34545454545454546
temp,20,8,13184E_8_20_4,NY_06,NYC,38,35,16.5,0,2/1/23,jb,H,4,2,2/27/23,26,0.4727272727272727
temp,20,8,13184E_8_20_7 - P1,NY_06,NYC,4,3,1,0,2/1/23,jc,G,7.1,2,2/17/23,16,0.2909090909090909
temp,20,8,13184E_8_20_7 - P1,NY_06,NYC,4,9.5,4.5,0,2/1/23,jc,G,7.1,2,2/20/23,19,0.34545454545454546
temp,20,8,13184E_8_20_7 - P1,NY_06,NYC,20,21.5,12.5,0,2/1/23,jc,G,7.1,2,2/27/23,26,0.4727272727272727
temp,20,8,13184E_8_20_7 - P1,NY_06,NYC,21,27,14.5,0,2/1/23,jc,G,7.1,2,3/1/23,28,0.509090909090909
temp,20,8,13184E_8_20_7 - P1,NY_06,NYC,24,33,18,0,2/1/23,jc,H,7.1,2,3/7/23,34,0.6181818181818182
temp,20,8,13184E_8_20_7 - P2,NY_06,NYC,4,3,1,0,2/1/23,jd,G,7.2,2,2/17/23,16,0.2909090909090909
temp,20,8,13184E_8_20_7 - P2,NY_06,NYC,8,3,1,0,2/1/23,jd,G,7.2,2,2/20/23,19,0.34545454545454546
temp,20,8,13184E_8_20_7 - P2,NY_06,NYC,12,19,11,0,2/1/23,jd,H,7.2,2,3/7/23,34,0.6181818181818182
temp,20,8,13184E_8_20_8,NY_06,NYC,10,14,7.3,0,2/1/23,je,G,8,2,2/20/23,19,0.34545454545454546
temp,20,8,13184E_8_20_8,NY_06,NYC,10,20,9.5,0,2/1/23,je,G,8,2,2/20/23,19,0.34545454545454546
temp,20,8,13184E_8_20_8,NY_06,NYC,25,28.5,16,0,2/1/23,je,G,8,2,2/27/23,26,0.4727272727272727
temp,20,8,13184E_8_20_8,NY_06,NYC,31,30,16.5,0,2/1/23,je,H,8,2,3/1/23,28,0.509090909090909
temp,20,8,17294E_8_20_1 - P1,NY_18,NYC,7,12,7,0,2/1/23,jf,G,1.1,2,2/17/23,16,0.2191780821917808
temp,20,8,17294E_8_20_1 - P1,NY_18,NYC,13,16,6,0,2/1/23,jf,G,1.1,2,2/20/23,19,0.2602739726027397
temp,20,8,17294E_8_20_1 - P1,NY_18,NYC,16,26,13,0,2/1/23,jf,H,1.1,2,2/27/23,26,0.3561643835616438
temp,20,8,17294E_8_20_1 - P2,NY_18,NYC,12,12,5,0,2/1/23,jg,G,1.2,2,2/17/23,16,0.2191780821917808
temp,20,8,17294E_8_20_1 - P2,NY_18,NYC,15,17,8,0,2/1/23,jg,G,1.2,2,2/20/23,19,0.2602739726027397
temp,20,8,17294E_8_20_1 - P2,NY_18,NYC,20,28,14.2,0,2/1/23,jg,H,1.2,2,2/27/23,26,0.3561643835616438
temp,20,8,17294E_8_20_4,NY_18,NYC,4,1,0.5,0,2/1/23,jh,GD,4,2,2/27/23,26,0.3561643835616438
temp,20,8,17294E_8_20_4,NY_18,NYC,7,5,3,0,2/1/23,jh,GD,4,2,3/1/23,28,0.3835616438356164
temp,20,8,17294E_8_20_4,NY_18,NYC,8,12,7.2,0,2/1/23,jh,GD,4,2,3/7/23,34,0.4657534246575342
temp,20,8,17294E_8_20_7 - P1,NY_18,NYC,9,9,4,0,2/1/23,ji,G,7.1,2,2/17/23,16,0.2191780821917808
temp,20,8,17294E_8_20_7 - P1,NY_18,NYC,24,14,9,0,2/1/23,ji,G,7.1,2,2/20/23,19,0.2602739726027397
temp,20,8,17294E_8_20_7 - P1,NY_18,NYC,31,23,12.5,0,2/1/23,ji,H,7.1,2,2/27/23,26,0.3561643835616438
temp,20,8,17294E_8_20_7 - P2,NY_18,NYC,8,10,4,0,2/1/23,jh,NG,7.2,2,2/17/23,16,0.2191780821917808
temp,20,8,17294E_8_20_7 - P3,NY_18,NYC,3,0.5,0.25,0,2/1/23,jk,NG,7.3,2,2/17/23,16,0.2191780821917808
temp,20,8,17294E_8_20_9,NY_18,NYC,14,11,9.4,0,2/1/23,jj,G,9,2,2/17/23,16,0.2191780821917808
temp,20,8,17294E_8_20_9,NY_18,NYC,20,19,9,0,2/1/23,jj,G,9,2,2/20/23,19,0.2602739726027397
temp,20,8,17294E_8_20_9,NY_18,NYC,28,26.5,13,0,2/1/23,jj,H,9,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_1,NY_63,NYC,6,3,1.5,0,2/1/23,jl,G,1,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_1,NY_63,NYC,9,6,3.5,0,2/1/23,jl,G,1,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_1,NY_63,NYC,13,17,8,0,2/1/23,jl,G,1,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_1,NY_63,NYC,15,19,9.5,0,2/1/23,jl,G,1,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_1,NY_63,NYC,16,23.5,12,0,2/1/23,jl,G,1,2,3/7/23,34,0.4657534246575342
temp,20,8,216L_8_20_1,NY_63,NYC,18,23,13,0,2/1/23,jl,H,1,2,3/10/23,37,0.5068493150684932
temp,20,8,216L_8_20_2,NY_63,NYC,9,6,2.7,0,2/1/23,jm,G,2,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_2,NY_63,NYC,11,12,7,0,2/1/23,jm,G,2,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_2,NY_63,NYC,17,25,13.5,0,2/1/23,jm,G,2,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_2,NY_63,NYC,17,29.5,14.3,0,2/1/23,jm,H,2,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_3 - P1,NY_63,NYC,7,6,3,0,2/1/23,jn,G,3.1,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_3 - P1,NY_63,NYC,9,8,5.5,0,2/1/23,jn,G,3.1,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_3 - P1,NY_63,NYC,11,19,9,0,2/1/23,jn,G,3.1,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_3 - P1,NY_63,NYC,11,20,11,0,2/1/23,jn,G,3.1,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_3 - P1,NY_63,NYC,14,32,14.5,0,2/1/23,jn,H,3.1,2,3/7/23,34,0.4657534246575342
temp,20,8,216L_8_20_3 - P2,NY_63,NYC,8,12,5.5,0,2/1/23,jo,G,3.2,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_3 - P2,NY_63,NYC,7,19,9.5,0,2/1/23,jo,G,3.2,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_3 - P2,NY_63,NYC,12,25,13,0,2/1/23,jo,G,3.2,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_3 - P2,NY_63,NYC,12,26.5,14,0,2/1/23,jo,G,3.2,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_3 - P2,NY_63,NYC,14,28,14,0,2/1/23,jo,H,3.2,2,3/7/23,34,0.4657534246575342
temp,20,8,216L_8_20_3 - P3,NY_63,NYC,7,7,3.5,0,2/1/23,jp,G,3.3,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_3 - P3,NY_63,NYC,8,13,6.5,0,2/1/23,jp,G,3.3,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_3 - P3,NY_63,NYC,15,18,10.5,0,2/1/23,jp,G,3.3,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_3 - P3,NY_63,NYC,15,20,11,0,2/1/23,jp,G,3.3,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_3 - P3,NY_63,NYC,16,25,15,0,2/1/23,jp,H,3.3,2,3/7/23,34,0.4657534246575342
temp,20,8,216L_8_20_4,NY_63,NYC,9,10,5,0,2/1/23,jq,G,4,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_4,NY_63,NYC,9,13,7.5,0,2/1/23,jq,G,4,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_4,NY_63,NYC,19,24,12,0,2/1/23,jq,G,4,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_4,NY_63,NYC,20,26.2,13.5,0,2/1/23,jq,H,4,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_5 - P1,NY_63,NYC,7,15.5,7,0,2/1/23,jr,G,5.5,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_5 - P1,NY_63,NYC,10,21.5,10.5,0,2/1/23,jr,G,5.5,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_5 - P1,NY_63,NYC,13,23.5,11.5,0,2/1/23,jr,G,5.5,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_5 - P1,NY_63,NYC,16,24,11.5,0,2/1/23,jr,H,5.5,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_5 - P2,NY_63,NYC,9,13.5,6.5,0,2/1/23,js,G,5.2,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_5 - P2,NY_63,NYC,9,18.5,10.5,0,2/1/23,js,G,5.2,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_5 - P2,NY_63,NYC,14,24,12,0,2/1/23,js,G,5.2,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_5 - P2,NY_63,NYC,17,25,13,0,2/1/23,js,H,5.2,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_6,NY_63,NYC,10,11,6.2,0,2/1/23,jt,G,6,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_6,NY_63,NYC,11,12.5,7.8,0,2/1/23,jt,G,6,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_6,NY_63,NYC,16,26,14,0,2/1/23,jt,G,6,2,2/27/23,26,0.3561643835616438
temp,20,8,216L_8_20_6,NY_63,NYC,21,26.5,15,0,2/1/23,jt,G,6,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_6,NY_63,NYC,21,28,15,0,2/1/23,jt,H,6,2,3/7/23,34,0.4657534246575342
temp,20,8,216L_8_20_9,NY_63,NYC,9,6.5,4.5,0,2/1/23,ju,G,9,2,2/17/23,16,0.2191780821917808
temp,20,8,216L_8_20_9,NY_63,NYC,11,8.5,6,0,2/1/23,ju,G,9,2,2/20/23,19,0.2602739726027397
temp,20,8,216L_8_20_9,NY_63,NYC,15,26,14,0,2/1/23,ju,G,9,2,3/1/23,28,0.3835616438356164
temp,20,8,216L_8_20_9,NY_63,NYC,18,28,15.5,0,2/1/23,ju,H,9,2,3/7/23,34,0.4657534246575342
temp,30,17,216L_17_30_2,NY_63,NYC,10,12.5,6.5,0,2/1/23,jv,G,2,2,2/17/23,16,0.2191780821917808
temp,30,17,216L_17_30_2,NY_63,NYC,16,18,9.5,0,2/1/23,jv,G,2,2,2/20/23,19,0.2602739726027397
temp,30,17,216L_17_30_2,NY_63,NYC,21,28,17,0,2/1/23,jv,G,2,2,2/27/23,26,0.3561643835616438
temp,30,17,216L_17_30_2,NY_63,NYC,27,29,17,0,2/1/23,jv,G,2,2,3/1/23,28,0.3835616438356164
temp,30,17,216L_17_30_2,NY_63,NYC,28,32,17,0,2/1/23,jv,H,2,2,3/7/23,34,0.4657534246575342
temp,30,17,216L_17_30_4,NY_63,NYC,11,14,8.5,0,2/1/23,jw,G,4,2,2/17/23,16,0.2191780821917808
temp,30,17,216L_17_30_4,NY_63,NYC,15,21.5,12.5,0,2/1/23,jw,G,4,2,2/20/23,19,0.2602739726027397
temp,30,17,216L_17_30_4,NY_63,NYC,22,28,16,0,2/1/23,jw,G,4,2,2/27/23,26,0.3561643835616438
temp,30,17,216L_17_30_4,NY_63,NYC,26,30,16.5,0,2/1/23,jw,H,4,2,3/1/23,28,0.3835616438356164
temp,30,17,216L_17_30_7,NY_63,NYC,11,13,6.5,0,2/1/23,jx,G,7,2,2/17/23,16,0.2191780821917808
temp,30,17,216L_17_30_7,NY_63,NYC,15,18.5,8.5,0,2/1/23,jx,G,7,2,2/20/23,19,0.2602739726027397
temp,30,17,216L_17_30_7,NY_63,NYC,25,28,14.5,0,2/1/23,jx,G,7,2,2/27/23,26,0.3561643835616438
temp,30,17,216L_17_30_7,NY_63,NYC,28,32.5,16.5,0,2/1/23,jx,G,7,2,3/1/23,28,0.3835616438356164
temp,30,17,216L_17_30_7,NY_63,NYC,30,34,17,0,2/1/23,jx,H,7,2,3/7/23,34,0.4657534246575342
temp,30,17,216L_17_30_8,NY_63,NYC,15,15.3,8.9,0,2/1/23,jy,G,8,2,2/17/23,16,0.2191780821917808
temp,30,17,216L_17_30_8,NY_63,NYC,17,18.5,11,0,2/1/23,jy,G,8,2,2/20/23,19,0.2602739726027397
temp,30,17,216L_17_30_8,NY_63,NYC,25,28,15,0,2/1/23,jy,G,8,2,2/27/23,26,0.3561643835616438
temp,30,17,216L_17_30_8,NY_63,NYC,33,31,15,0,2/1/23,jy,H,8,2,3/1/23,28,0.3835616438356164
temp,20,8,14.2_8_20_1,NY_09,NYC,2,0,0,0,2/21/23,jz,G,1,3,3/27/23,34,0.4657534246575342
temp,20,8,14.2_8_20_1,NY_09,NYC,4,1,0.6,0,2/21/23,jz,G,1,3,3/29/23,36,0.4931506849315068
temp,20,8,14.2_8_20_1,NY_09,NYC,4,1.3,0.7,0,2/21/23,jz,G,1,3,3/31/23,38,0.5205479452054794
temp,20,8,14.2_8_20_1,NY_09,NYC,6,2.5,1.7,0,2/21/23,jz,G,1,3,4/3/23,41,0.5616438356164384
temp,20,8,14.2_8_20_1,NY_09,NYC,7,3.5,2.8,0,2/21/23,jz,G,1,3,4/5/23,43,0.589041095890411
temp,20,8,14.2_8_20_1,NY_09,NYC,9,7.3,4,0,2/21/23,jz,G,1,3,4/7/23,45,0.6164383561643836
temp,20,8,14.2_8_20_1,NY_09,NYC,9,10.1,6.4,0,2/21/23,jz,G,1,3,4/10/23,48,0.6575342465753424
temp,20,8,14.2_8_20_1,NY_09,NYC,12,13.4,8,0,2/21/23,jz,G,1,3,4/12/23,50,0.684931506849315
temp,20,8,14.2_8_20_1,NY_09,NYC,13,14.9,8.6,0,2/21/23,jz,G,1,3,4/14/23,52,0.7123287671232876
temp,20,8,14.2_8_20_1,NY_09,NYC,16,20.8,11.6,0,2/21/23,jz,G,1,3,4/17/23,55,0.7534246575342466
temp,20,8,14.2_8_20_1,NY_09,NYC,18,27.8,15.5,0,2/21/23,jz,H,1,3,4/21/23,59,0.8082191780821918
temp,20,8,14.2_8_20_2,NY_09,NYC,2,0,0,0,2/21/23,ka,G,2,3,3/27/23,34,0.4657534246575342
temp,20,8,14.2_8_20_2,NY_09,NYC,4,0.8,0.5,0,2/21/23,ka,G,2,3,3/29/23,36,0.4931506849315068
temp,20,8,14.2_8_20_2,NY_09,NYC,4,1.3,0.7,0,2/21/23,ka,G,2,3,3/31/23,38,0.5205479452054794
temp,20,8,14.2_8_20_2,NY_09,NYC,6,2,1,0,2/21/23,ka,G,2,3,4/3/23,41,0.5616438356164384
temp,20,8,14.2_8_20_2,NY_09,NYC,7,4,2.7,0,2/21/23,ka,G,2,3,4/5/23,43,0.589041095890411
temp,20,8,14.2_8_20_2,NY_09,NYC,8,6.8,4.3,0,2/21/23,ka,G,2,3,4/7/23,45,0.6164383561643836
temp,20,8,14.2_8_20_2,NY_09,NYC,9,11.1,6.2,0,2/21/23,ka,G,2,3,4/10/23,48,0.6575342465753424
temp,20,8,14.2_8_20_2,NY_09,NYC,12,14,8.8,0,2/21/23,ka,G,2,3,4/12/23,50,0.684931506849315
temp,20,8,14.2_8_20_2,NY_09,NYC,13,16,10.1,0,2/21/23,ka,G,2,3,4/14/23,52,0.7123287671232876
temp,20,8,14.2_8_20_2,NY_09,NYC,15,22.8,13.2,0,2/21/23,ka,G,2,3,4/17/23,55,0.7534246575342466
temp,20,8,14.2_8_20_2,NY_09,NYC,19,25,15,0,2/21/23,ka,H,2,3,4/21/23,59,0.8082191780821918
temp,20,8,14.2_8_20_3,NY_09,NYC,2,0,0,0,2/21/23,kb,G,3,3,3/27/23,34,0.4657534246575342
temp,20,8,14.2_8_20_3,NY_09,NYC,4,1,0.6,0,2/21/23,kb,G,3,3,3/29/23,36,0.4931506849315068
temp,20,8,14.2_8_20_3,NY_09,NYC,4,1.4,0.9,0,2/21/23,kb,G,3,3,3/31/23,38,0.5205479452054794
temp,20,8,14.2_8_20_3,NY_09,NYC,6,2.5,1.7,0,2/21/23,kb,G,3,3,4/3/23,41,0.5616438356164384
temp,20,8,14.2_8_20_3,NY_09,NYC,7,5,2.8,0,2/21/23,kb,G,3,3,4/5/23,43,0.589041095890411
temp,20,8,14.2_8_20_3,NY_09,NYC,9,8.6,5,0,2/21/23,kb,G,3,3,4/7/23,45,0.6164383561643836
